sample,a254,a300,E2_E3,E4_E6,S275_295,S350_400,S300_700,SR
Center_28Aug20,14.57541015,6.576497559,7.959876794,54.95374449,0.02111025,0.021501305,0.021986121,0.981812504
Lower_28Aug20,13.1589701,5.29404516,11.5278784,-14.42857143,0.02401183,0.024080796,0.104738625,0.997136074
Site1a_28Aug20,16.7110715,8.858825705,5.640424955,-56.0091686,0.016461359,0.02180761,0.020781465,0.754844718
Site2a_28Aug20,13.75830196,5.689647009,10.70527944,-48.68085106,0.023357703,0.024567695,0.087457545,0.950748672
Upper_28Aug20,15.06495775,6.58585508,8.542851904,-16.92080649,0.021987226,0.021333151,0.02533767,1.030660018
Center_13July20,12.60409982,6.153041292,8.6771333,16.83546917,0.01886514,0.022869021,0.032056778,0.824921188
Lower_13July20,11.7435009,5.678278548,8.897005594,14.55605537,0.019127473,0.024013124,0.027937595,0.796542483
Site1a_13July20,13.89259229,6.876403971,7.07896428,-195.9578908,0.031047431,0.047573167,0.028984572,0.652624836
Site2a_13July20,13.48080101,6.932275393,6.32493244,-55.02117557,0.035876625,0.05531971,0.057620378,0.648532398
Upper_13July20,16.25087514,8.259170531,6.537069791,-42.4005535,0.030788883,0.032238054,0.027526791,0.955047818
Lower_25Jun20,11.74347861,5.678256259,8.897135604,14.86251561,0.019127525,0.024013579,0.026739874,0.796529538
Site1a_25Jun20,12.78801415,6.142642726,8.618910695,-5.01264181,0.019386841,0.024030757,0.093268516,0.806751156
Site2a_25Jun20,11.66749354,5.499100724,8.823776376,-7.629915885,0.019794284,0.02421968,0.109559919,0.817280988
Upper_25Jun20,15.05231015,7.279351527,7.645120752,-8.211077934,0.018807464,0.021288342,0.025037584,0.883463045
Center_26May20,14.52025412,7.878417393,5.335850463,23.02009874,0.015565317,0.016243937,0.016083038,0.958223174
Lower_26May20,15.86262374,8.722058322,5.124519576,22.24190217,0.015161133,0.016341672,0.015800325,0.927758992
Site1a_26May20,14.99715279,7.610147579,6.138020636,31.40567989,0.021392484,0.017397981,0.017307889,1.229595761
Site2a_26May20,15.29420358,8.365545157,5.204600259,-246.14,0.01528178,0.015926193,0.015966935,0.959537538
Upper_26May20,15.87217938,7.847945212,6.886783245,-26.22429245,0.01846395,0.019023921,0.01892426,0.970564912
Center_26Oct20,15.14201997,6.448215017,8.926018948,28.65223256,0.022454268,0.019112649,0.022922423,1.174838095
Lower_26Oct20,15.1695611,6.389717843,9.159826124,271.3795,0.022540468,0.02052094,0.022575015,1.098413057
Site1a_26Oct20,14.78645354,6.258540491,8.813831196,26.63286008,0.022792306,0.01882004,0.021460946,1.211065777
Site2a_26Oct20,14.88916256,6.204803451,9.069069931,58.68239796,0.022871048,0.019557277,0.022086681,1.169439298
Upper_26Oct20,16.21925853,7.10114894,8.4696274,49.77318792,0.021903866,0.018316798,0.022211975,1.19583488
Center_23Sep20,17.7315716,7.751541501,7.651340824,49.87195946,0.021328783,0.016807748,0.01963698,1.268985153
Lower_23Sep20,16.94762657,7.284754082,8.023049347,24.85576115,0.021832009,0.017820729,0.020005645,1.225090685
Site1a_23Sep20,17.75014692,7.96698946,7.504675748,52.41975226,0.020680853,0.016476127,0.020022907,1.255201107
Site2a_23Sep20,17.97551769,7.78078295,8.106012067,61.67338415,0.021656462,0.01795372,0.020215466,1.206238167
Upper_23Sep20,23.50027791,11.2263629,7.069690597,39.97871025,0.018290708,0.01631411,0.020812119,1.121158775
